Sheathing,nail size,panel thickness,nail spacing,Vs (plf),Ga(OSB)(kips/in),Sheathed sides,LRFD(klf),ASD,Assembly,OpenSeesTag
WSP,6d,5/16in,6,360,13,1,0.288,0.18,Use 5/16in WSP on 1 side with 6d nails @ 6o.c. spacing,1
WSP,6d,3/8in,6,400,11,1,0.32,0.2,Use 3/8in WSP on 1 side with 6d nails @ 6o.c. spacing,1
Structural I,6d,5/16in,6,400,13,1,0.32,0.2,Use 5/16in Structural I on 1 side with 6d nails @ 6o.c. spacing,1
WSP,8d,3/8in,6,440,17,1,0.352,0.22,Use 3/8in WSP on 1 side with 8d nails @ 6o.c. spacing,1
Structural I,8d,3/8in,6,460,19,1,0.368,0.23,Use 3/8in Structural I on 1 side with 8d nails @ 6o.c. spacing,1
WSP,8d,7/16in,6,480,15,1,0.384,0.24,Use 7/16in WSP on 1 side with 8d nails @ 6o.c. spacing,1
Structural I,8d,7/16in,6,510,16,1,0.408,0.255,Use 7/16in Structural I on 1 side with 8d nails @ 6o.c. spacing,1
WSP,8d,15/32in,6,520,13,1,0.416,0.26,Use 15/32in WSP on 1 side with 8d nails @ 6o.c. spacing,1
WSP,6d,5/16in,4,540,18,1,0.432,0.27,Use 5/16in WSP on 1 side with 6d nails @ 4o.c. spacing,1
Structural I,8d,15/32in,6,560,14,1,0.448,0.28,Use 15/32in Structural I on 1 side with 8d nails @ 6o.c. spacing,1
WSP,6d,3/8in,4,600,15,1,0.48,0.3,Use 3/8in WSP on 1 side with 6d nails @ 4o.c. spacing,1
Structural I,6d,5/16in,4,600,18,1,0.48,0.3,Use 5/16in Structural I on 1 side with 6d nails @ 4o.c. spacing,1
WSP,10d,15/32in,6,620,22,1,0.496,0.31,Use 15/32in WSP on 1 side with 10d nails @ 6o.c. spacing,1
WSP,8d,3/8in,4,640,25,1,0.512,0.32,Use 3/8in WSP on 1 side with 8d nails @ 4o.c. spacing,1
WSP,10d,19/32in,6,680,19,1,0.544,0.34,Use 19/32in WSP on 1 side with 10d nails @ 6o.c. spacing,1
Structural I,10d,15/32in,6,680,22,1,0.544,0.34,Use 15/32in Structural I on 1 side with 10d nails @ 6o.c. spacing,1
WSP,8d,7/16in,4,700,22,1,0.56,0.35,Use 7/16in WSP on 1 side with 8d nails @ 4o.c. spacing,1
WSP,6d,5/16in,3,700,24,1,0.56,0.35,Use 5/16in WSP on 1 side with 6d nails @ 3o.c. spacing,1
Structural I,8d,3/8in,4,720,24,1,0.576,0.36,Use 3/8in Structural I on 1 side with 8d nails @ 4o.c. spacing,1
WSP,6d,5/16in,6,360,13,2,0.576,0.36,Use 5/16in WSP on 2 side with 6d nails @ 6o.c. spacing,1
WSP,8d,15/32in,4,760,19,1,0.608,0.38,Use 15/32in WSP on 1 side with 8d nails @ 4o.c. spacing,1
WSP,6d,3/8in,3,780,20,1,0.624,0.39,Use 3/8in WSP on 1 side with 6d nails @ 3o.c. spacing,1
Structural I,6d,5/16in,3,780,23,1,0.624,0.39,Use 5/16in Structural I on 1 side with 6d nails @ 3o.c. spacing,1
Structural I,8d,7/16in,4,790,21,1,0.632,0.395,Use 7/16in Structural I on 1 side with 8d nails @ 4o.c. spacing,1
WSP,6d,3/8in,6,400,11,2,0.64,0.4,Use 3/8in WSP on 2 side with 6d nails @ 6o.c. spacing,1
Structural I,6d,5/16in,6,400,13,2,0.64,0.4,Use 5/16in Structural I on 2 side with 6d nails @ 6o.c. spacing,1
WSP,8d,3/8in,3,820,31,1,0.656,0.41,Use 3/8in WSP on 1 side with 8d nails @ 3o.c. spacing,1
Structural I,8d,15/32in,4,860,18,1,0.688,0.43,Use 15/32in Structural I on 1 side with 8d nails @ 4o.c. spacing,1
WSP,8d,3/8in,6,440,17,2,0.704,0.44,Use 3/8in WSP on 2 side with 8d nails @ 6o.c. spacing,1
WSP,8d,7/16in,3,900,28,1,0.72,0.45,Use 7/16in WSP on 1 side with 8d nails @ 3o.c. spacing,1
WSP,6d,5/16in,2,900,37,1,0.72,0.45,Use 5/16in WSP on 1 side with 6d nails @ 2o.c. spacing,1
WSP,10d,15/32in,4,920,30,1,0.736,0.46,Use 15/32in WSP on 1 side with 10d nails @ 4o.c. spacing,1
Structural I,8d,3/8in,3,920,30,1,0.736,0.46,Use 3/8in Structural I on 1 side with 8d nails @ 3o.c. spacing,1
Structural I,8d,3/8in,6,460,19,2,0.736,0.46,Use 3/8in Structural I on 2 side with 8d nails @ 6o.c. spacing,1
WSP,8d,7/16in,6,480,15,2,0.768,0.48,Use 7/16in WSP on 2 side with 8d nails @ 6o.c. spacing,1
WSP,8d,15/32in,3,980,25,1,0.784,0.49,Use 15/32in WSP on 1 side with 8d nails @ 3o.c. spacing,1
Structural I,8d,7/16in,3,1010,27,1,0.808,0.505,Use 7/16in Structural I on 1 side with 8d nails @ 3o.c. spacing,1
WSP,10d,19/32in,4,1020,26,1,0.816,0.51,Use 19/32in WSP on 1 side with 10d nails @ 4o.c. spacing,1
WSP,6d,3/8in,2,1020,32,1,0.816,0.51,Use 3/8in WSP on 1 side with 6d nails @ 2o.c. spacing,1
Structural I,10d,15/32in,4,1020,29,1,0.816,0.51,Use 15/32in Structural I on 1 side with 10d nails @ 4o.c. spacing,1
Structural I,6d,5/16in,2,1020,35,1,0.816,0.51,Use 5/16in Structural I on 1 side with 6d nails @ 2o.c. spacing,1
Structural I,8d,7/16in,6,510,16,2,0.816,0.51,Use 7/16in Structural I on 2 side with 8d nails @ 6o.c. spacing,1
WSP,8d,15/32in,6,520,13,2,0.832,0.52,Use 15/32in WSP on 2 side with 8d nails @ 6o.c. spacing,1
WSP,8d,3/8in,2,1060,45,1,0.848,0.53,Use 3/8in WSP on 1 side with 8d nails @ 2o.c. spacing,1
WSP,6d,5/16in,4,540,18,2,0.864,0.54,Use 5/16in WSP on 2 side with 6d nails @ 4o.c. spacing,1
Structural I,8d,15/32in,3,1100,24,1,0.88,0.55,Use 15/32in Structural I on 1 side with 8d nails @ 3o.c. spacing,1
Structural I,8d,15/32in,6,560,14,2,0.896,0.56,Use 15/32in Structural I on 2 side with 8d nails @ 6o.c. spacing,1
WSP,8d,7/16in,2,1170,42,1,0.936,0.585,Use 7/16in WSP on 1 side with 8d nails @ 2o.c. spacing,1
WSP,10d,15/32in,3,1200,37,1,0.96,0.6,Use 15/32in WSP on 1 side with 10d nails @ 3o.c. spacing,1
WSP,6d,3/8in,4,600,15,2,0.96,0.6,Use 3/8in WSP on 2 side with 6d nails @ 4o.c. spacing,1
Structural I,6d,5/16in,4,600,18,2,0.96,0.6,Use 5/16in Structural I on 2 side with 6d nails @ 4o.c. spacing,1
Structural I,8d,3/8in,2,1220,43,1,0.976,0.61,Use 3/8in Structural I on 1 side with 8d nails @ 2o.c. spacing,1
WSP,10d,15/32in,6,620,22,2,0.992,0.62,Use 15/32in WSP on 2 side with 10d nails @ 6o.c. spacing,1
WSP,8d,15/32in,2,1280,39,1,1.024,0.64,Use 15/32in WSP on 1 side with 8d nails @ 2o.c. spacing,1
WSP,8d,3/8in,4,640,25,2,1.024,0.64,Use 3/8in WSP on 2 side with 8d nails @ 4o.c. spacing,1
WSP,10d,19/32in,3,1330,33,1,1.064,0.665,Use 19/32in WSP on 1 side with 10d nails @ 3o.c. spacing,1
Structural I,10d,15/32in,3,1330,36,1,1.064,0.665,Use 15/32in Structural I on 1 side with 10d nails @ 3o.c. spacing,1
Structural I,8d,7/16in,2,1340,40,1,1.072,0.67,Use 7/16in Structural I on 1 side with 8d nails @ 2o.c. spacing,1
WSP,10d,19/32in,6,680,19,2,1.088,0.68,Use 19/32in WSP on 2 side with 10d nails @ 6o.c. spacing,1
Structural I,10d,15/32in,6,680,22,2,1.088,0.68,Use 15/32in Structural I on 2 side with 10d nails @ 6o.c. spacing,1
WSP,8d,7/16in,4,700,22,2,1.12,0.7,Use 7/16in WSP on 2 side with 8d nails @ 4o.c. spacing,1
WSP,6d,5/16in,3,700,24,2,1.12,0.7,Use 5/16in WSP on 2 side with 6d nails @ 3o.c. spacing,1
Structural I,8d,3/8in,4,720,24,2,1.152,0.72,Use 3/8in Structural I on 2 side with 8d nails @ 4o.c. spacing,1
Structural I,8d,15/32in,2,1460,37,1,1.168,0.73,Use 15/32in Structural I on 1 side with 8d nails @ 2o.c. spacing,1
WSP,8d,15/32in,4,760,19,2,1.216,0.76,Use 15/32in WSP on 2 side with 8d nails @ 4o.c. spacing,1
WSP,10d,15/32in,2,1540,52,1,1.232,0.77,Use 15/32in WSP on 1 side with 10d nails @ 2o.c. spacing,1
WSP,6d,3/8in,3,780,20,2,1.248,0.78,Use 3/8in WSP on 2 side with 6d nails @ 3o.c. spacing,1
Structural I,6d,5/16in,3,780,23,2,1.248,0.78,Use 5/16in Structural I on 2 side with 6d nails @ 3o.c. spacing,1
Structural I,8d,7/16in,4,790,21,2,1.264,0.79,Use 7/16in Structural I on 2 side with 8d nails @ 4o.c. spacing,1
WSP,8d,3/8in,3,820,31,2,1.312,0.82,Use 3/8in WSP on 2 side with 8d nails @ 3o.c. spacing,1
Structural I,8d,15/32in,4,860,18,2,1.376,0.86,Use 15/32in Structural I on 2 side with 8d nails @ 4o.c. spacing,1
WSP,10d,19/32in,2,1740,48,1,1.392,0.87,Use 19/32in WSP on 1 side with 10d nails @ 2o.c. spacing,1
Structural I,10d,15/32in,2,1740,51,1,1.392,0.87,Use 15/32in Structural I on 1 side with 10d nails @ 2o.c. spacing,1
WSP,8d,7/16in,3,900,28,2,1.44,0.9,Use 7/16in WSP on 2 side with 8d nails @ 3o.c. spacing,1
WSP,6d,5/16in,2,900,37,2,1.44,0.9,Use 5/16in WSP on 2 side with 6d nails @ 2o.c. spacing,1
WSP,10d,15/32in,4,920,30,2,1.472,0.92,Use 15/32in WSP on 2 side with 10d nails @ 4o.c. spacing,1
Structural I,8d,3/8in,3,920,30,2,1.472,0.92,Use 3/8in Structural I on 2 side with 8d nails @ 3o.c. spacing,1
WSP,8d,15/32in,3,980,25,2,1.568,0.98,Use 15/32in WSP on 2 side with 8d nails @ 3o.c. spacing,1
Structural I,8d,7/16in,3,1010,27,2,1.616,1.01,Use 7/16in Structural I on 2 side with 8d nails @ 3o.c. spacing,1
WSP,10d,19/32in,4,1020,26,2,1.632,1.02,Use 19/32in WSP on 2 side with 10d nails @ 4o.c. spacing,1
WSP,6d,3/8in,2,1020,32,2,1.632,1.02,Use 3/8in WSP on 2 side with 6d nails @ 2o.c. spacing,1
Structural I,10d,15/32in,4,1020,29,2,1.632,1.02,Use 15/32in Structural I on 2 side with 10d nails @ 4o.c. spacing,1
Structural I,6d,5/16in,2,1020,35,2,1.632,1.02,Use 5/16in Structural I on 2 side with 6d nails @ 2o.c. spacing,1
WSP,8d,3/8in,2,1060,45,2,1.696,1.06,Use 3/8in WSP on 2 side with 8d nails @ 2o.c. spacing,1
Structural I,8d,15/32in,3,1100,24,2,1.76,1.1,Use 15/32in Structural I on 2 side with 8d nails @ 3o.c. spacing,1
WSP,8d,7/16in,2,1170,42,2,1.872,1.17,Use 7/16in WSP on 2 side with 8d nails @ 2o.c. spacing,1
WSP,10d,15/32in,3,1200,37,2,1.92,1.2,Use 15/32in WSP on 2 side with 10d nails @ 3o.c. spacing,1
Structural I,8d,3/8in,2,1220,43,2,1.952,1.22,Use 3/8in Structural I on 2 side with 8d nails @ 2o.c. spacing,1
WSP,8d,15/32in,2,1280,39,2,2.048,1.28,Use 15/32in WSP on 2 side with 8d nails @ 2o.c. spacing,1
WSP,10d,19/32in,3,1330,33,2,2.128,1.33,Use 19/32in WSP on 2 side with 10d nails @ 3o.c. spacing,1
Structural I,10d,15/32in,3,1330,36,2,2.128,1.33,Use 15/32in Structural I on 2 side with 10d nails @ 3o.c. spacing,1
Structural I,8d,7/16in,2,1340,40,2,2.144,1.34,Use 7/16in Structural I on 2 side with 8d nails @ 2o.c. spacing,1
Structural I,8d,15/32in,2,1460,37,2,2.336,1.46,Use 15/32in Structural I on 2 side with 8d nails @ 2o.c. spacing,1
WSP,10d,15/32in,2,1540,52,2,2.464,1.54,Use 15/32in WSP on 2 side with 10d nails @ 2o.c. spacing,1
WSP,10d,19/32in,2,1740,48,2,2.784,1.74,Use 19/32in WSP on 2 side with 10d nails @ 2o.c. spacing,1
Structural I,10d,15/32in,2,1740,51,2,2.784,1.74,Use 15/32in Structural I on 2 side with 10d nails @ 2o.c. spacing,1
